🕘️更新时间,#genre#
2026-06-17 20:23:14,http://112.27.235.94:8000/hls/1/index.m3u8$订阅源

📺央视频道,#genre#
CCTV-1,http://112.27.235.94:8000/hls/1/index.m3u8$订阅源
CCTV-1,http://183.11.239.36:808/hls/19/index.m3u8$订阅源
CCTV-1,http://182.150.23.74:808/hls/1/index.m3u8$订阅源
CCTV-1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-2,http://112.27.235.94:8000/hls/2/index.m3u8$订阅源
CCTV-2,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-3,http://112.27.235.94:8000/hls/3/index.m3u8$订阅源
CCTV-3,http://182.150.23.74:808/hls/3/index.m3u8$订阅源
CCTV-3,http://112.46.85.60:8009/hls/3/index.m3u8$订阅源
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$订阅源
CCTV-4,http://183.11.239.36:808/hls/22/index.m3u8$订阅源
CCTV-4,http://112.27.235.94:8000/hls/4/index.m3u8$订阅源
CCTV-5,http://112.27.235.94:8000/hls/5/index.m3u8$订阅源
CCTV-5,http://112.46.85.60:8009/hls/503/index.m3u8$订阅源
CCTV-5,http://61.136.172.236:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5+,http://112.27.235.94:8000/hls/6/index.m3u8$订阅源
CCTV-5+,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8$订阅源
CCTV-6,http://112.27.235.94:8000/hls/7/index.m3u8$订阅源
CCTV-7,http://183.223.157.33:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://112.27.235.94:8000/hls/8/index.m3u8$订阅源
CCTV-7,http://112.46.85.60:8009/hls/504/index.m3u8$订阅源
CCTV-8,http://182.150.23.74:808/hls/8/index.m3u8$订阅源
CCTV-8,http://112.27.235.94:8000/hls/9/index.m3u8$订阅源
CCTV-8,http://61.136.172.236:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-9,http://74.91.26.218:82/live/cctv9hd.m3u8$订阅源
CCTV-9,http://183.223.157.33:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-9,http://112.27.235.94:8000/hls/10/index.m3u8$订阅源
CCTV-9,http://61.136.172.236:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-10,http://112.27.235.94:8000/hls/11/index.m3u8$订阅源
CCTV-10,http://61.136.172.236:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://183.223.157.33:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-11,http://182.150.23.74:808/hls/11/index.m3u8$订阅源
CCTV-11,http://112.27.235.94:8000/hls/12/index.m3u8$订阅源
CCTV-11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8$订阅源
CCTV-12,http://74.91.26.218:82/live/cctv12hd.m3u8$订阅源
CCTV-12,http://182.150.23.74:808/hls/12/index.m3u8$订阅源
CCTV-12,http://112.27.235.94:8000/hls/13/index.m3u8$订阅源
CCTV-13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8$订阅源
CCTV-13,http://112.27.235.94:8000/hls/14/index.m3u8$订阅源
CCTV-13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-14,http://182.150.23.74:808/hls/14/index.m3u8$订阅源
CCTV-14,http://112.27.235.94:8000/hls/15/index.m3u8$订阅源
CCTV-15,http://183.223.157.33:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-15,http://112.27.235.94:8000/hls/16/index.m3u8$订阅源
CCTV-15,http://61.136.172.236:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-16,http://gmxw.7766.org:808/hls/169/index.m3u8$订阅源
CCTV-16,http://183.11.239.36:808/hls/169/index.m3u8$订阅源
CCTV-17,http://183.11.239.36:808/hls/35/index.m3u8$订阅源

📡卫视频道,#genre#
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4$订阅源
广东卫视,http://112.27.235.94:8000/hls/30/index.m3u8$订阅源
广东卫视,http://183.11.239.36:808/hls/80/index.m3u8$订阅源
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8$订阅源
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$订阅源
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8$订阅源
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8$订阅源
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$订阅源
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8$订阅源
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8$订阅源
湖南卫视,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8$订阅源
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8$订阅源
湖南卫视,http://182.150.23.74:808/hls/21/index.m3u8$订阅源
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8$订阅源
北京卫视,http://112.27.235.94:8000/hls/27/index.m3u8$订阅源
北京卫视,http://182.150.23.74:808/hls/17/index.m3u8$订阅源
东方卫视,http://36.32.174.67:60080/newlive/live/hls/24/live.m3u8$订阅源
东方卫视,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8$订阅源
东方卫视,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8$订阅源
江苏卫视,http://112.27.235.94:8000/hls/32/index.m3u8$订阅源
江苏卫视,http://182.150.23.74:808/hls/18/index.m3u8$订阅源
江苏卫视,http://112.46.85.60:8009/hls/33/index.m3u8$订阅源
四川卫视,http://183.223.157.33:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8$订阅源
四川卫视,http://61.136.172.236:9901/tsfile/live/0123_1.m3u8$订阅源
安徽卫视,http://112.27.235.94:8000/hls/26/index.m3u8$订阅源
安徽卫视,http://182.150.23.74:808/hls/25/index.m3u8$订阅源
安徽卫视,http://61.136.172.236:9901/tsfile/live/0130_1.m3u8$订阅源
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8$订阅源
重庆卫视,http://36.32.174.67:60080/newlive/live/hls/34/live.m3u8$订阅源
重庆卫视,http://61.136.172.236:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
重庆卫视,http://61.136.172.236:9901/tsfile/live/0142_1.m3u8$订阅源
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8$订阅源
天津卫视,http://112.46.85.60:8009/hls/44/index.m3u8$订阅源
山东卫视,http://182.150.23.74:808/hls/23/index.m3u8$订阅源
山东卫视,http://112.27.235.94:8000/hls/34/index.m3u8$订阅源
山东卫视,http://61.136.172.236:9901/tsfile/live/0131_1.m3u8$订阅源
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws$订阅源
河南卫视,http://112.27.235.94:8000/hls/37/index.m3u8$订阅源
河南卫视,http://182.150.23.74:808/hls/33/index.m3u8$订阅源
河南卫视,http://61.136.172.236:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
河南卫视,http://61.136.172.236:9901/tsfile/live/0139_1.m3u8$订阅源
湖北卫视,http://59.39.89.130:60901/tsfile/live/0125_12.m3u8?key=txiptv&playlive=1&authid=0$订阅源
湖北卫视,http://112.27.235.94:8000/hls/41/index.m3u8$订阅源
湖北卫视,http://182.150.23.74:808/hls/28/index.m3u8$订阅源
湖北卫视,http://61.136.172.236:9901/tsfile/live/0132_1.m3u8$订阅源
河北卫视,http://36.32.174.67:60080/newlive/live/hls/36/live.m3u8$订阅源
河北卫视,http://112.27.235.94:8000/hls/39/index.m3u8$订阅源
河北卫视,http://183.11.239.36:808/hls/54/index.m3u8$订阅源
河北卫视,http://61.136.172.236:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
河北卫视,http://61.136.172.236:9901/tsfile/live/0117_1.m3u8$订阅源
辽宁卫视,http://59.39.89.130:60901/tsfile/live/0125_13.m3u8?key=txiptv&playlive=1&authid=0$订阅源
辽宁卫视,http://125.43.249.150:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
辽宁卫视,http://112.27.235.94:8000/hls/47/index.m3u8$订阅源
辽宁卫视,http://61.136.172.236:9901/tsfile/live/0121_1.m3u8$订阅源
